RK,SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,ASST PAY TOTAL,SCHOOL BUYOUT AS OF 4/1/19
302,Ohio State,Big Ten,Taver Johnson,"$345,000","$345,000","$131,963","$7,383,938",--
303,Illinois,Big Ten,Luke Butkus,"$343,400","$343,400","$144,228","$3,614,150",--
304,Maryland,Big Ten,Bryan Stinespring,"$340,000","$340,000","$120,000","$3,600,000",--
305,Arkansas,SEC,John Scott Jr.,"$340,000","$340,000","$113,333","$3,945,000",--
306,San Diego State,Mt. West,Jeff Horton,"$334,920","$337,120","$68,176","$1,700,984",--
307,UCLA,Pac-12,Jimmie Dougherty,"$335,000","$335,000","$100,000","$4,170,000",--
308,Oregon,Pac-12,Mike Johnson,"$335,000","$335,000","$130,000","$5,345,000",--
309,Missouri,SEC,Vernon Hargreaves,"$335,000","$335,000","$108,800","$4,380,000",--
310,Central Florida,AAC,Willie Martinez,"$335,000","$335,000",$0,"$2,365,000",--
311,Colorado State,Mt. West,John Jancek,"$333,125","$333,125","$65,521","$1,942,375",--
312,Fresno State,Mt. West,Kalen DeBoer,"$333,048","$333,048","$67,808","$1,816,136",--
313,Cincinnati,AAC,Ron Crook,"$330,000","$330,000","$55,000","$2,425,000",--
314,Tennessee,SEC,Charles Kelly,"$330,000","$330,000","$78,000","$5,675,000",--
315,North Carolina State,ACC,Eddie Faulkner,"$329,266","$329,266","$100,000","$3,736,201",--
316,Indiana,Big Ten,Grant Heard,"$326,625","$326,625","$110,000","$3,104,903",--
317,Indiana,Big Ten,William Inge,"$326,353","$326,353","$110,000","$3,104,903",--
318,Georgia,SEC,Glenn Schumann,"$325,000","$325,000","$180,000","$6,420,000",--
319,North Carolina,ACC,John Papuchis,"$325,000","$325,000","$54,167","$3,207,000",--
320,Texas Tech,Big 12,Brandon Jones,"$325,000","$325,000","$108,333","$3,008,000",--
321,Arizona State,Pac-12,John Simon,"$325,000","$325,000","$106,500","$3,730,000",--
322,North Carolina,ACC,Mike Ekeler,"$325,000","$325,000","$54,167","$3,207,000",--
323,Georgia,SEC,Dan Lanning,"$325,000","$325,000","$195,000","$6,420,000",--
324,Louisiana-Lafayette,Sun Belt,Rob Sale,"$325,000","$325,000","$27,083","$1,730,000",--
325,Florida International,C-USA,Rich Skrosky,"$325,000","$325,000","$37,500","$1,597,814",--
326,Louisiana-Lafayette,Sun Belt,Ron Roberts,"$325,000","$325,000","$27,083","$1,730,000",--
327,North Carolina State,ACC,Des Kitchings,"$324,480","$324,480","$100,000","$3,736,201",--
328,California,Pac-12,Marques Tuiasosopo,"$320,000","$323,000","$50,000","$3,742,000",--
329,Kansas State,Big 12,Mo Latimore,"$320,000","$322,000","$122,400","$3,599,000",--
330,Oklahoma,Big 12,Calvin Thibodeaux,"$320,000","$320,000","$93,334","$5,133,000",--
331,Texas,Big 12,Jason Washington,"$320,000","$320,000","$95,000","$5,955,000",--
332,Purdue,Big Ten,Derrick Jackson,"$320,000","$320,000","$112,000","$3,465,000",--
333,Illinois,Big Ten,Bob Ligashesky,"$318,150","$318,150","$133,622","$3,614,150",--
334,West Virginia,Big 12,Bruce Tall,"$313,500","$313,575","$110,000","$3,447,575",--
335,Colorado,Pac-12,Gary Bernardi,"$311,000","$311,625","$59,808","$3,352,250",--
336,Middle Tennessee,C-USA,Scott Shafer,"$310,000","$310,750",$0,"$1,263,296",--
337,Iowa State,Big 12,Tyson Veidt,"$310,000","$310,000","$62,000","$2,982,500",--
338,Iowa State,Big 12,D.K. McDonald,"$310,000","$310,000","$62,000","$2,982,500",--
339,Middle Tennessee,C-USA,Tony Franklin,"$310,000","$310,000","$115,000","$1,263,296",--
340,Boise State,Mt. West,Zak Hill,"$310,000","$310,000","$42,500","$2,345,018",--
341,Arizona,Pac-12,Clarence McKinney,"$310,000","$310,000","$55,000","$3,155,000",--
342,San Jose State,Mt. West,Derrick Odum,"$305,052","$305,052","$3,000","$1,320,240",--
343,East Carolina,AAC,Tony Petersen,"$304,500","$304,500","$30,375","$1,776,600",--
344,Iowa State,Big 12,Bryan Gasser,"$302,500","$302,500","$60,500","$2,982,500",--
345,Indiana,Big Ten,Mike Hart,"$301,500","$301,500","$110,000","$3,104,903",--
346,Clemson,ACC,Lemanski Hall,"$300,000","$301,500","$95,000","$6,825,000",--
347,Clemson,ACC,Todd Bates,"$300,000","$301,500","$95,000","$6,825,000",--
348,Kentucky,SEC,Steven Clinkscale,"$300,000","$300,900","$50,000","$4,356,000",--
349,Colorado,Pac-12,Kurt Roper,"$300,000","$300,625","$57,692","$3,352,250",--
350,Oregon State,Pac-12,Trent Bray,"$300,012","$300,012","$25,001","$3,075,060",--
351,Oregon State,Pac-12,Legi Suiaunoa,"$300,012","$300,012","$25,001","$3,075,060",--
352,Troy,Sun Belt,Vic Koenning,"$300,000","$300,000","$37,500","$1,430,000",--
353,Nebraska,Big Ten,Travis Fisher,"$300,000","$300,000","$120,000","$4,500,000",--
354,Oklahoma State,Big 12,Jason McEndoo,"$300,000","$300,000","$90,000","$4,150,000",--
355,South Carolina,SEC,Mike Peterson,"$300,000","$300,000","$115,000","$5,050,000",--
356,Virginia,ACC,Jason Beck,"$300,000","$300,000","$75,000","$2,975,000",--
357,Missouri,SEC,Brian Odom,"$300,000","$300,000","$99,000","$4,380,000",--
358,Iowa State,Big 12,Joel Gordon,"$300,000","$300,000","$60,000","$2,982,500",--
359,Oregon,Pac-12,Bobby Williams,"$300,000","$300,000","$130,000","$5,345,000",--
360,Washington,Pac-12,Jordan Paopao,"$300,000","$300,000","$91,000","$5,465,040",--
361,Arizona State,Pac-12,Antonio Pierce,"$300,000","$300,000","$106,000","$3,730,000",--
362,Iowa State,Big 12,Alex Golesh,"$300,000","$300,000","$60,000","$2,982,500",--
363,Georgia,SEC,Scott Fountain,"$300,000","$300,000","$180,000","$6,420,000",--
364,Michigan,Big Ten,Jim McElwain,"$300,000","$300,000","$100,000","$5,875,000",--
365,North Carolina,ACC,Deke Adams,"$300,000","$300,000","$50,000","$3,207,000",--
366,Mississippi State,SEC,Andrew Breiner,"$300,000","$300,000","$25,000","$3,575,000",--
367,Louisville,ACC,L.D. Scott,"$300,000","$300,000",$0,"$4,222,000",--
368,Connecticut,AAC,John Dunn,"$300,000","$300,000","$165,385","$1,955,000",--
369,Michigan,Big Ten,Jay Harbaugh,"$300,000","$300,000","$75,000","$5,875,000",--
370,Boise State,Mt. West,Kent Riddle,"$300,000","$300,000","$41,750","$2,345,018",--
371,Kansas State,Big 12,Collin Klein,"$300,000","$300,000","$116,000","$3,599,000",--
372,Connecticut,AAC,Billy Crocker,"$300,000","$300,000","$165,385","$1,955,000",--
373,Iowa,Big Ten,Kelvin Bell,"$300,000","$300,000",$0,"$4,345,000",--
374,Mississippi State,SEC,Marcus Johnson,"$300,000","$300,000","$25,000","$3,575,000",--
375,Utah State,Mt. West,David Yost,"$300,000","$300,000","$25,000","$1,700,000",--
376,Oregon,Pac-12,Alex Mirabal,"$300,000","$300,000","$130,000","$5,345,000",--
377,Florida State,ACC,Alonzo Hampton,"$300,000","$300,000","$50,833","$5,715,000",--
378,Illinois,Big Ten,Gill Byrd,"$300,000","$300,000","$84,000","$3,614,150",--
379,Central Florida,AAC,Randy Shannon,"$300,000","$300,000",$0,"$2,365,000",--
380,Purdue,Big Ten,Mark Tommerdahl,"$300,000","$300,000","$96,000","$3,465,000",--
381,Nebraska,Big Ten,Ryan Held,"$300,000","$300,000","$120,000","$4,500,000",--
382,Mississippi State,SEC,Tem Lukabu,"$300,000","$300,000","$25,000","$3,575,000",--
383,Texas,Big 12,Corby Meekins,"$300,000","$300,000","$95,000","$5,955,000",--
384,Kentucky,SEC,Derrick LeBlanc,"$300,000","$300,000","$50,000","$4,356,000",--
385,Kansas State,Big 12,Jon Fabris,"$300,000","$300,000","$116,000","$3,599,000",--
386,South Carolina,SEC,Pat Washington,"$300,000","$300,000","$115,000","$5,050,000",--
387,Auburn,SEC,Marcus Woodson,"$300,000","$300,000","$115,000","$6,555,600",--
388,North Carolina,ACC,Chad Scott,"$300,000","$300,000","$50,000","$3,207,000",--
389,Washington State,Pac-12,Ken Wilson,"$296,500","$296,500","$47,062","$3,228,500",--
390,Georgia Tech,ACC,Andy McCollum,"$296,089","$296,089","$24,674","$2,813,072",--
391,Wisconsin,Big Ten,Bobby April,"$295,200","$295,200",$0,"$4,114,500",--
392,Memphis,AAC,Ryan Silverfield,"$295,000","$295,000","$24,583","$2,635,000",--
393,Georgia Tech,ACC,Mike Sewak,"$292,381","$292,381","$24,365","$2,813,072",--
394,Washington State,Pac-12,Kendrick Shaver,"$291,500","$291,500","$46,438","$3,228,500",--
395,Washington State,Pac-12,Mason Miller,"$291,500","$291,500","$46,438","$3,228,500",--
396,Western Kentucky,C-USA,Clayton White,"$290,004","$291,304",$0,"$1,096,432",--
397,Michigan State,Big Ten,Don Treadwell,"$290,001","$290,001","$100,385","$4,526,009",--
398,Utah State,Mt. West,Keith Patterson,"$290,000","$290,000","$24,167","$1,700,000",--
399,Houston,AAC,Randy Clements,"$290,000","$290,000","$49,300","$2,136,000",--
400,Rutgers,Big Ten,Noah Joseph,"$290,000","$290,000","$24,167","$3,129,155",--
401,UCLA,Pac-12,DeShaun Foster,"$285,000","$285,000","$100,000","$4,170,000",--
402,Georgia Tech,ACC,Buzz Preston,"$283,686","$283,686","$23,641","$2,813,072",--
403,Illinois,Big Ten,Andrew Hayes-Stoker,"$282,800","$282,800","$118,776","$3,614,150",--
404,Illinois,Big Ten,Thad Ward,"$282,800","$282,800","$118,776","$3,614,150",--
405,Washington State,Pac-12,David Nichol,"$281,500","$281,500","$45,187","$3,228,500",--
406,Virginia Tech,ACC,Vance Vice,"$280,000","$280,000","$53,333","$3,685,000",--
407,Memphis,AAC,Kenny Dillingham,"$280,000","$280,000","$23,333","$2,635,000",--
408,North Carolina State,ACC,George Barlow,"$280,000","$280,000","$100,000","$3,736,201",--
409,Virginia Tech,ACC,Zohn Burden,"$280,000","$280,000","$43,333","$3,685,000",--
410,Virginia Tech,ACC,Brian Mitchell,"$280,000","$280,000","$53,333","$3,685,000",--
411,Virginia Tech,ACC,Holmon Wiggins,"$280,000","$280,000","$53,333","$3,685,000",--
412,Texas Tech,Big 12,Zac Spavital,"$280,000","$280,000","$93,333","$3,008,000",--
413,Virginia Tech,ACC,Charley Wiles,"$280,000","$280,000","$53,333","$3,685,000",--
414,California,Pac-12,Charlie Ragle,"$275,000","$278,000","$50,000","$3,742,000",--
415,California,Pac-12,Tony Tuioti,"$275,000","$276,500","$50,000","$3,742,000",--
416,Fresno State,Mt. West,Bert Watts,"$275,000","$275,000","$59,000","$1,816,136",--
417,Texas-San Antonio,C-USA,Al Borges,"$275,000","$275,000",$0,"$1,370,000",--
418,Cincinnati,AAC,Marcus Freeman,"$275,000","$275,000","$45,833","$2,425,000",--
419,Arizona State,Pac-12,Shaun Nua,"$275,000","$275,000","$105,500","$3,730,000",--
420,Oklahoma State,Big 12,John Wozniak,"$275,000","$275,000","$83,749","$4,150,000",--
421,North Texas,C-USA,Graham Harrell,"$275,000","$275,000","$22,916","$1,720,000",--
422,Utah,Pac-12,Lewis Powell,"$275,000","$275,000","$22,917","$3,625,000",--
423,North Carolina,ACC,Henry Baker,"$275,000","$275,000","$45,833","$3,207,000",--
424,Florida International,C-USA,Brent Guy,"$275,000","$275,000","$37,500","$1,597,814",--
425,Oregon,Pac-12,Cort Dennison,"$275,000","$275,000","$130,000","$5,345,000",--
426,Arizona State,Pac-12,Tony White,"$275,000","$275,000","$105,500","$3,730,000",--
427,Memphis,AAC,Will Hall,"$275,000","$275,000","$22,917","$2,635,000",--
428,Utah,Pac-12,Justin Ena,"$275,000","$275,000","$22,917","$3,625,000",--
429,Utah,Pac-12,Guy Holliday,"$275,000","$275,000","$22,917","$3,625,000",--
430,Utah,Pac-12,Fred Whittingham,"$275,000","$275,000","$22,917","$3,625,000",--
431,Texas Tech,Big 12,Clay McGuire,"$273,000","$273,000","$91,000","$3,008,000",--
432,Washington State,Pac-12,Eric Mele,"$271,500","$271,500","$43,938","$3,228,500",--
433,Washington State,Pac-12,Steve Spurrier Jr.,"$271,500","$271,500","$43,937","$3,228,500",--
434,North Texas,C-USA,Troy Reffett,"$265,000","$265,000","$22,083","$1,720,000",--
435,Georgia Tech,ACC,Ron West,"$265,000","$265,000","$22,083","$2,813,072",--
436,Georgia Tech,ACC,Lamar Owens,"$263,345","$263,345","$21,945","$2,813,072",--
437,Washington State,Pac-12,Matt Brock,"$261,500","$261,500","$42,688","$3,228,500",--
438,Colorado,Pac-12,ShaDon Brown,"$260,000","$260,625","$50,000","$3,352,250",--
439,East Carolina,AAC,Keith Gaither,"$260,000","$260,000","$26,667","$1,776,600",--
440,Central Florida,AAC,Shane Burnham,"$260,000","$260,000",$0,"$2,365,000",--
441,Iowa State,Big 12,Eli Rasheed,"$260,000","$260,000","$52,000","$2,982,500",--
442,East Carolina,AAC,David Blackwell,"$260,000","$260,000","$26,667","$1,776,600",--
443,Boise State,Mt. West,Brad Bedell,"$260,000","$260,000","$38,750","$2,345,018",--
444,Minnesota,Big Ten,Matt Simon,"$260,000","$260,000","$75,000","$3,320,000",--
445,Arizona,Pac-12,Demetrice Martin,"$260,000","$260,000","$55,000","$3,155,000",--
446,Georgia Tech,ACC,Joe Speed,"$257,226","$257,226","$21,436","$2,813,072",--
447,Iowa,Big Ten,Kelton Copeland,"$255,000","$255,000",$0,"$4,345,000",--
448,Tennessee,SEC,Terry Fair,"$255,000","$255,000","$60,000","$5,675,000",--
449,Memphis,AAC,Paul Randolph,"$255,000","$255,000","$21,250","$2,635,000",--
450,North Texas,C-USA,Tommy Mainord,"$255,000","$255,000","$21,250","$1,720,000",--
451,West Virginia,Big 12,Doug Belk,"$251,000","$251,000","$110,000","$3,447,575",--
452,West Virginia,Big 12,Marquel Blackwell,"$251,000","$251,000","$110,000","$3,447,575",--
453,Kansas,Big 12,Garrett Riley,"$250,000","$251,000","$62,500","$3,002,299",--
454,West Virginia,Big 12,Matt Caponi,"$251,000","$251,000","$110,000","$3,447,575",--
455,Colorado,Pac-12,Ross Els,"$250,000","$250,625","$48,076","$3,352,250",--
456,Oregon State,Pac-12,Greg Burns,"$250,008","$250,008","$20,834","$3,075,060",--
457,Cincinnati,AAC,Jon Tenuta,"$250,000","$250,000","$41,667","$2,425,000",--
458,Texas Tech,Big 12,Clay Jennings,"$250,000","$250,000","$83,333","$3,008,000",--
459,Minnesota,Big Ten,Rob Wenger,"$250,000","$250,000","$75,000","$3,320,000",--
460,Texas Tech,Big 12,Terrance Jamison,"$250,000","$250,000","$83,333","$3,008,000",--
461,South Florida,AAC,Charlie Williams,"$250,000","$250,000","$33,000","$1,795,000",--
462,Rutgers,Big Ten,Corey Brown,"$250,000","$250,000","$20,833","$3,129,155",--
463,Cincinnati,AAC,Joker Phillips,"$250,000","$250,000","$41,667","$2,425,000",--
464,Kansas,Big 12,A.J. Ricker,"$250,000","$250,000","$50,000","$3,002,299",--
465,UCLA,Pac-12,Derek Sage,"$250,000","$250,000","$100,000","$4,170,000",--
466,Georgia Southern,Sun Belt,Bob DeBesse,"$250,000","$250,000","$18,000","$1,245,000",--
467,Minnesota,Big Ten,Kenni Burns,"$250,000","$250,000","$75,000","$3,320,000",--
468,North Carolina,ACC,Luke Paschall,"$250,000","$250,000","$41,667","$3,207,000",--
469,Virginia,ACC,Mark Atuaia,"$250,000","$250,000","$62,500","$2,975,000",--
470,Georgia Southern,Sun Belt,Scot Sloan,"$250,000","$250,000","$18,000","$1,245,000",--
471,Texas Tech,Big 12,Adam Scheier,"$250,000","$250,000",$0,"$3,008,000",--
472,Rutgers,Big Ten,Cory Robinson,"$250,000","$250,000","$20,833","$3,129,155",--
473,Virginia,ACC,Ricky Brumfield,"$250,000","$250,000","$62,500","$2,975,000",--
474,Indiana,Big Ten,Brandon Shelby,"$250,000","$250,000","$110,000","$3,104,903",--
475,UCLA,Pac-12,Vince Oghobaase,"$250,000","$250,000","$100,000","$4,170,000",--
476,Maryland,Big Ten,Aazaar Abdul-Rahim,"$250,000","$250,000","$112,500","$3,600,000",--
477,Minnesota,Big Ten,Brian Callahan,"$250,000","$250,000","$75,000","$3,320,000",--
478,Rutgers,Big Ten,Lester Erb,"$245,000","$245,000","$20,417","$3,129,155",--
479,Cincinnati,AAC,Steve Stripling,"$245,000","$245,000","$40,833","$2,425,000",--
480,Connecticut,AAC,Terry Richardson,"$245,000","$245,000","$94,231","$1,955,000",--
481,Illinois,Big Ten,Austin Clark,"$245,000","$245,000","$102,900","$3,614,150",--
482,Purdue,Big Ten,Dale Williams,"$240,000","$240,000","$84,000","$3,465,000",--
483,Minnesota,Big Ten,Joseph Rossi,"$240,000","$240,000","$75,000","$3,320,000",--
484,Purdue,Big Ten,Reggie Johnson,"$240,000","$240,000","$84,000","$3,465,000",--
485,Nevada,Mt. West,Jeff Casteel,"$238,703","$238,703","$9,946","$1,391,345",--
486,Rutgers,Big Ten,Vince Okruch,"$236,750","$236,750","$19,729","$3,129,155",--
487,Washington State,Pac-12,Darcel McBath,"$236,500","$236,500","$39,562","$3,228,500",--
488,Texas-El Paso,C-USA,Mike Cox,"$235,000","$235,000","$83,332","$1,317,500",--
489,LSU,SEC,Mickey Joseph,"$235,000","$235,000","$75,000","$6,470,000",--
490,Texas-El Paso,C-USA,Mike Canales,"$235,000","$235,000","$83,332","$1,317,500",--
491,South Alabama,Sun Belt,Kenny Edenfield,"$231,000","$231,000","$28,125","$1,225,000",--
492,South Alabama,Sun Belt,Greg Stewart,"$231,000","$231,000","$28,125","$1,225,000",--
493,Purdue,Big Ten,Chris Barclay,"$230,000","$230,000","$80,500","$3,465,000",--
494,Utah State,Mt. West,Frank Maile,"$230,000","$230,000","$19,167","$1,700,000",--
495,Minnesota,Big Ten,Jahmile Addae,"$230,000","$230,000","$75,000","$3,320,000",--
496,Fresno State,Mt. West,Ryan Grubb,"$229,332","$229,332","$36,693","$1,816,136",--
497,Western Kentucky,C-USA,Junior Adams,"$225,000","$226,300",$0,"$1,096,432",--
498,Colorado,Pac-12,Ashley Ambrose,"$225,000","$225,625","$43,269","$3,352,250",--
499,Colorado State,Mt. West,Dave Johnson,"$225,500","$225,500","$42,583","$1,942,375",--
500,Oregon,Pac-12,Donte Williams,"$225,000","$225,000","$130,000","$5,345,000",--
501,Michigan,Big Ten,Sherrone Moore,"$225,000","$225,000","$37,500","$5,875,000",--
502,Purdue,Big Ten,Kevin Wolthausen,"$225,000","$225,000","$72,000","$3,465,000",--
503,Texas-San Antonio,C-USA,Jason Rollins,"$225,000","$225,000",$0,"$1,370,000",--
504,Arkansas,SEC,Mark Smith,"$225,000","$225,000","$75,000","$3,945,000",--
505,North Carolina State,ACC,Aaron Henry,"$225,000","$225,000","$100,000","$3,736,201",--
506,Memphis,AAC,Desmond Lindsey,"$225,000","$225,000","$18,750","$2,635,000",--
507,South Florida,AAC,Blue Adams,"$225,000","$225,000","$33,000","$1,795,000",--
508,Arizona,Pac-12,John Rushing,"$225,000","$225,000","$55,000","$3,155,000",--
509,New Mexico,Mt. West,Calvin Magee,"$225,000","$225,000",$0,"$1,540,525",--
510,Boise State,Mt. West,Chad Kauha'aha'a,"$225,000","$225,000","$36,875","$2,345,018",--
511,Maryland,Big Ten,Jafar Williams,"$225,000","$225,000","$112,500","$3,600,000",--
512,Memphis,AAC,T.J. Rushing,"$225,000","$225,000","$18,750","$2,635,000",--
513,Indiana,Big Ten,Kane Wommack,"$225,000","$225,000","$110,000","$3,104,903",--
514,Buffalo,MAC,Rob Ianello,"$223,374","$223,374",$0,"$1,042,934",--
515,Nevada-Las Vegas,Mt. West,Barney Cotton,"$222,833","$222,833","$18,569","$1,371,010",--
516,Arkansas State,Sun Belt,Joe Cauthen,"$220,000","$221,000","$18,333","$1,289,796",--
517,Boise State,Mt. West,Gabe Franklin,"$220,000","$220,000","$35,750","$2,345,018",--
518,Boise State,Mt. West,Eric Kiseau,"$220,000","$220,000","$35,751","$2,345,018",--
519,Massachusetts,Ind.,Ed Pinkham,"$220,000","$220,000","$23,833","$887,500",--
520,Illinois,Big Ten,Cory Patterson,"$220,000","$220,000","$92,400","$3,614,150",--
521,Missouri,SEC,A.J. Ofodile,"$220,000","$220,000","$76,600","$4,380,000",--
522,Colorado State,Mt. West,Ronnie Letson,"$215,250","$215,250","$40,875","$1,942,375",--
523,Arizona,Pac-12,Iona Uiagalelei,"$215,000","$215,000","$55,000","$3,155,000",--
524,Washington,Pac-12,Will Harris,"$215,000","$215,000","$91,000","$5,465,040",--
525,Rutgers,Big Ten,Nunzio Campanile,"$215,000","$215,000","$17,917","$3,129,155",--
526,Rutgers,Big Ten,Toby Neinas,"$215,000","$215,000","$17,916","$3,129,155",--
527,Coastal Carolina,Sun Belt,Jamey Chadwell,"$212,750","$212,750",$0,"$1,134,750",--
528,Arkansas State,Sun Belt,Buster Faulkner,"$210,000","$211,000","$17,500","$1,289,796",--
529,LSU,SEC,Dennis Johnson,"$210,000","$210,000","$75,000","$6,470,000",--
530,Kansas State,Big 12,Zach Hanson,"$210,000","$210,000","$87,200","$3,599,000",--
531,Kansas State,Big 12,Eric Hickson,"$210,000","$210,000","$87,200","$3,599,000",--
532,Marshall,C-USA,Tim Cramsey,"$210,000","$210,000","$35,000","$1,232,000",--
533,Minnesota,Big Ten,Clay Patterson,"$210,000","$210,000","$75,000","$3,320,000",--
534,Florida Atlantic,C-USA,Eric Mathies,"$210,000","$210,000","$2,500","$1,500,000",--
535,Minnesota,Big Ten,Marcus West,"$210,000","$210,000","$75,000","$3,320,000",--
536,Nevada-Las Vegas,Mt. West,Garin Justice,"$210,000","$210,000","$17,500","$1,371,010",--
537,Old Dominion,C-USA,Brian Scott,"$207,961","$207,961",$0,"$1,129,051",--
538,Colorado State,Mt. West,Keith Gilmore,"$205,000","$205,000","$39,167","$1,942,375",--
539,Tennessee,SEC,Brian Niedermeyer,"$205,000","$205,000","$48,000","$5,675,000",--
540,Central Florida,AAC,Anthony Tucker,"$205,000","$205,000",$0,"$2,365,000",--
541,Connecticut,AAC,Frank Giufre,"$205,000","$205,000","$78,846","$1,955,000",--
542,Louisiana Tech,C-USA,Blake Baker,"$205,000","$205,000",$0,"$1,215,000",--
543,Central Florida,AAC,Nick Toth,"$205,000","$205,000",$0,"$2,365,000",--
544,Central Florida,AAC,Darrell Wyatt,"$205,000","$205,000",$0,"$2,365,000",--
545,Nevada,Mt. West,Matt Mumme,"$203,322","$203,322","$8,472","$1,391,345",--
546,California,Pac-12,Nicholas Edwards,"$200,000","$203,000","$50,000","$3,742,000",--
547,California,Pac-12,Gerald Alexander,"$200,000","$201,500","$50,000","$3,742,000",--
548,Florida,SEC,Larry Scott,"$201,500","$201,500","$80,000","$4,855,000",--
549,Florida,SEC,Charlton Warren,"$201,500","$201,500","$80,000","$4,855,000",--
550,Kansas,Big 12,Jesse Williams,"$200,000","$201,300","$50,000","$3,002,299",--
551,New Mexico,Mt. West,Kevin Cosgrove,"$200,000","$201,250",$0,"$1,540,525",--
552,Colorado,Pac-12,Darian Hagan,"$200,000","$200,625","$38,461","$3,352,250",--
553,Colorado,Pac-12,Kwahn Drake,"$200,000","$200,625","$38,461","$3,352,250",--
554,Georgia Tech,ACC,Craig Candeto,"$200,345","$200,345","$16,695","$2,813,072",--
555,Oregon State,Pac-12,Kefense Hynson,"$200,004","$200,004","$16,667","$3,075,060",--
556,Oregon State,Pac-12,Michael Pitre,"$200,004","$200,004","$16,667","$3,075,060",--
557,Oregon State,Pac-12,Jake Cookus,"$200,004","$200,004","$16,667","$3,075,060",--
558,Texas Tech,Big 12,Emmett Jones,"$200,000","$200,000","$66,667","$3,008,000",--
559,Louisville,ACC,Grady Brown,"$200,000","$200,000",$0,"$4,222,000",--
560,North Carolina State,ACC,Ted Roof,"$200,000","$200,000","$100,000","$3,736,201",--
561,Florida International,C-USA,Allen Mogridge,"$200,000","$200,000","$37,500","$1,597,814",--
562,Iowa State,Big 12,Nathan Scheelhaase,"$200,000","$200,000","$40,000","$2,982,500",--
563,Iowa State,Big 12,Jeff Myers,"$200,000","$200,000","$40,000","$2,982,500",--
564,Alabama,SEC,Dan Enos,"$200,000","$200,000","$44,000","$6,123,723",--
565,Utah,Pac-12,Kiel McDonald,"$200,000","$200,000","$16,667","$3,625,000",--
566,South Florida,AAC,Sean Cronin,"$200,000","$200,000","$33,000","$1,795,000",--
567,Louisiana-Lafayette,Sun Belt,Jabbar Juluke,"$200,000","$200,000","$16,667","$1,730,000",--
568,Louisville,ACC,Kolby Smith,"$200,000","$200,000",$0,"$4,222,000",--
569,Southern Mississippi,C-USA,Shannon Dawson,"$200,000","$200,000","$16,667","$1,100,000",--
570,Oklahoma State,Big 12,Greg Richmond,"$200,000","$200,000","$65,000","$4,150,000",--
571,Mississippi State,SEC,Joey Jones,"$200,000","$200,000","$16,667","$3,575,000",--
572,Virginia Tech,ACC,Tyrone Nix,"$200,000","$200,000","$43,333","$3,685,000",--
573,Arizona,Pac-12,Theron Aych,"$200,000","$200,000","$55,000","$3,155,000",--
574,Central Florida,AAC,Jeff Lebby,"$200,000","$200,000",$0,"$2,365,000",--
575,Louisville,ACC,Nick Petrino,"$200,000","$200,000",$0,"$4,222,000",--
576,Memphis,AAC,Scott Symons,"$200,000","$200,000","$16,667","$2,635,000",--
577,East Carolina,AAC,Don Mahoney,"$200,000","$200,000","$21,667","$1,776,600",--
578,Boise State,Mt. West,Jeff Popovich,"$200,000","$200,000","$35,000","$2,345,018",--
579,Arizona,Pac-12,Taylor Mazzone,"$200,000","$200,000","$55,000","$3,155,000",--
580,Iowa,Big Ten,Derrick Foster,"$200,000","$200,000",$0,"$4,345,000",--
581,Nebraska,Big Ten,Barrett Ruud,"$200,000","$200,000","$80,000","$4,500,000",--
582,Appalachian State,Sun Belt,Bryan Brown,"$200,000","$200,000","$45,167","$1,255,450",--
583,Fresno State,Mt. West,Jamar Cain,"$199,332","$199,332","$47,893","$1,816,136",--
584,Nevada,Mt. West,Angus McClure,"$195,700","$195,700","$8,154","$1,391,345",--
585,Wisconsin,Big Ten,Mickey Turner,"$195,200","$195,200",$0,"$4,114,500",--
586,North Carolina,ACC,Keith Heckendorf,"$195,000","$195,000","$32,500","$3,207,000",--
587,Cincinnati,AAC,Gino Guidugli,"$195,000","$195,000","$32,500","$2,425,000",--
588,Troy,Sun Belt,Matt Moore,"$195,000","$195,000","$24,375","$1,430,000",--
589,San Diego State,Mt. West,Hunkie Cooper,"$189,816","$192,316","$94,010","$1,700,984",--
590,San Diego State,Mt. West,Mike Schmidt,"$189,816","$192,216","$94,009","$1,700,984",--
591,San Diego State,Mt. West,Blane Morgan,"$189,816","$192,216","$94,010","$1,700,984",--
592,San Diego State,Mt. West,Zach Arnett,"$189,816","$192,016","$94,018","$1,700,984",--
593,Illinois,Big Ten,Miles Smith,"$192,000","$192,000","$80,640","$3,614,150",--
594,San Diego State,Mt. West,Kevin McGarry,"$189,816","$190,816","$94,010","$1,700,984",--
595,Cincinnati,AAC,Doug Phillips,"$190,000","$190,000","$31,667","$2,425,000",--
596,California,Pac-12,Burl Toler,"$190,000","$190,000","$50,000","$3,742,000",--
597,Georgia Tech,ACC,Shiel Wood,"$190,000","$190,000","$15,833","$2,813,072",--
598,Georgia State,Sun Belt,Nate Fuqua,"$190,000","$190,000","$10,000","$1,230,000",--
599,Georgia Tech,ACC,Jerome Riase,"$190,000","$190,000","$15,833","$2,813,072",--
600,Fresno State,Mt. West,Jamie Christian,"$189,332","$189,332","$30,293","$1,816,136",--
601,Indiana,Big Ten,Nick Sheridan,"$185,925","$185,925","$110,000","$3,104,903",--
